id,fecha_emision,estudiante_id,periodo_id
21481,2026-07-22,9322,187
21482,2026-07-22,9148,187
21483,2026-07-22,8991,187
21484,2026-07-22,8952,187
21485,2026-07-22,9280,187
21486,2026-07-22,9034,187
21487,2026-07-22,9279,187
21488,2026-07-22,9123,187
21489,2026-07-22,9309,187
21490,2026-07-22,9272,187
21491,2026-07-22,9018,187
21492,2026-07-22,9246,187
21493,2026-07-22,9287,187
21494,2026-07-22,8961,187
21495,2026-07-22,9300,187
21496,2026-07-22,8968,187
21497,2026-07-22,9107,187
21498,2026-07-22,9307,187
21499,2026-07-22,8983,187
21500,2026-07-22,9146,187
21501,2026-07-22,9317,187
21502,2026-07-22,9127,187
21503,2026-07-22,9257,187
21504,2026-07-22,9085,187
21505,2026-07-22,9230,187
21506,2026-07-22,9056,187
21507,2026-07-22,9176,187
21508,2026-07-22,9240,187
21509,2026-07-22,9190,187
21510,2026-07-22,9204,187
21511,2026-07-22,9002,187
21512,2026-07-22,9278,187
21513,2026-07-22,9202,187
21514,2026-07-22,9032,187
21515,2026-07-22,9047,187
21516,2026-07-22,9286,187
21517,2026-07-22,9082,187
21518,2026-07-22,9221,187
21519,2026-07-22,8995,187
21520,2026-07-22,9265,187
21521,2026-07-22,9025,187
21522,2026-07-22,9324,187
21523,2026-07-22,9227,187
21524,2026-07-22,9259,187
21525,2026-07-22,9301,187
21526,2026-07-22,8945,187
21527,2026-07-22,9197,187
21528,2026-07-22,9232,187
21529,2026-07-22,9078,187
21530,2026-07-22,8946,187
21531,2026-07-22,9119,187
21532,2026-07-22,9212,187
21533,2026-07-22,9248,187
21534,2026-07-22,9185,187
21535,2026-07-22,9036,187
21536,2026-07-22,9000,187
21537,2026-07-22,8955,187
21538,2026-07-22,9288,187
21539,2026-07-22,9014,187
21540,2026-07-22,8999,187
21541,2026-07-22,8944,187
21542,2026-07-22,9213,187
21543,2026-07-22,9105,187
21544,2026-07-22,9273,187
21545,2026-07-22,9140,187
21546,2026-07-22,9131,187
21547,2026-07-22,8984,187
21548,2026-07-22,9042,187
21549,2026-07-22,9151,187
21550,2026-07-22,8976,187
21551,2026-07-22,9104,187
21552,2026-07-22,9170,187
21553,2026-07-22,9141,187
21554,2026-07-22,9164,187
21555,2026-07-22,9256,187
21556,2026-07-22,9144,187
21557,2026-07-22,9079,187
21558,2026-07-22,9150,187
21559,2026-07-22,9274,187
21560,2026-07-22,9335,187
21561,2026-07-22,9010,187
21562,2026-07-22,9320,187
